name = who
year = 2011
yname = hgt
sex = male
distribution = LMS
citation = WHO
publication = http://www.who.int and supplement by Gerko Vink for WFA 10-19
[data]
x	L	M	S
1.7933	1	85.6117	0.03393
1.796	1	85.6417	0.03394
1.7988	1	85.6716	0.03396
1.8015	1	85.7015	0.03397
1.8042	1	85.7314	0.03398
1.807	1	85.7613	0.03399
1.8097	1	85.7912	0.034
1.8125	1	85.821	0.03401
1.8152	1	85.8508	0.03402
1.8179	1	85.8806	0.03404
1.8207	1	85.9104	0.03405
1.8234	1	85.9401	0.03406
1.8261	1	85.9698	0.03407
1.8289	1	85.9995	0.03408
1.8316	1	86.0292	0.03409
1.8344	1	86.0589	0.0341
1.8371	1	86.0885	0.03411
1.8398	1	86.1181	0.03413
1.8426	1	86.1477	0.03414
1.8453	1	86.1773	0.03415
1.848	1	86.2068	0.03416
1.8508	1	86.2363	0.03417
1.8535	1	86.2659	0.03418
1.8563	1	86.2954	0.03419
1.859	1	86.3248	0.03421
1.8617	1	86.3543	0.03422
1.8645	1	86.3837	0.03423
1.8672	1	86.4131	0.03424
1.87	1	86.4425	0.03425
1.8727	1	86.4719	0.03426
1.8754	1	86.5012	0.03427
1.8782	1	86.5306	0.03429
1.8809	1	86.5599	0.0343
1.8836	1	86.5892	0.03431
1.8864	1	86.6184	0.03432
1.8891	1	86.6477	0.03433
1.8919	1	86.6769	0.03434
1.8946	1	86.7061	0.03435
1.8973	1	86.7353	0.03437
1.9001	1	86.7645	0.03438
1.9028	1	86.7937	0.03439
1.9055	1	86.8228	0.0344
1.9083	1	86.8519	0.03441
1.911	1	86.881	0.03442
1.9138	1	86.9101	0.03443
1.9165	1	86.9392	0.03445
1.9192	1	86.9682	0.03446
1.922	1	86.9972	0.03447
1.9247	1	87.0262	0.03448
1.9274	1	87.0552	0.03449
1.9302	1	87.0842	0.0345
1.9329	1	87.1131	0.03451
1.9357	1	87.142	0.03453
1.9384	1	87.1709	0.03454
1.9411	1	87.1998	0.03455
1.9439	1	87.2287	0.03456
1.9466	1	87.2575	0.03457
1.9493	1	87.2863	0.03458
1.9521	1	87.3151	0.03459
1.9548	1	87.3439	0.03461
1.9576	1	87.3727	0.03462
1.9603	1	87.4014	0.03463
1.963	1	87.4302	0.03464
1.9658	1	87.4589	0.03465
1.9685	1	87.4876	0.03466
1.9713	1	87.5162	0.03467
1.974	1	87.5449	0.03469
1.9767	1	87.5735	0.0347
1.9795	1	87.6021	0.03471
1.9822	1	87.6307	0.03472
1.9849	1	87.6593	0.03473
1.9877	1	87.6878	0.03474
1.9904	1	87.7164	0.03475
1.9932	1	87.7449	0.03477
1.9959	1	87.7734	0.03478
1.9986	1	87.8018	0.03479
2.0014	1	87.1303	0.03508
2.0041	1	87.1587	0.03509
2.0068	1	87.1871	0.0351
2.0096	1	87.2155	0.03511
2.0123	1	87.2439	0.03513
2.0151	1	87.2722	0.03514
2.0178	1	87.3006	0.03515
2.0205	1	87.3289	0.03516
2.0233	1	87.3571	0.03517
2.026	1	87.3854	0.03518
2.0287	1	87.4136	0.03519
2.0315	1	87.4419	0.03521
2.0342	1	87.4701	0.03522
2.037	1	87.4982	0.03523
2.0397	1	87.5264	0.03524
2.0424	1	87.5545	0.03525
2.0452	1	87.5826	0.03526
2.0479	1	87.6107	0.03527
2.0507	1	87.6388	0.03528
2.0534	1	87.6668	0.0353
2.0561	1	87.6948	0.03531
2.0589	1	87.7228	0.03532
2.0616	1	87.7508	0.03533
2.0643	1	87.7788	0.03534
2.0671	1	87.8067	0.03535
2.0698	1	87.8346	0.03536
2.0726	1	87.8625	0.03538
2.0753	1	87.8903	0.03539
2.078	1	87.9181	0.0354
2.0808	1	87.946	0.03541
2.0835	1	87.9737	0.03542
2.0862	1	88.0015	0.03543
2.089	1	88.0292	0.03544
2.0917	1	88.057	0.03545
2.0945	1	88.0846	0.03547
2.0972	1	88.1123	0.03548
2.0999	1	88.14	0.03549
2.1027	1	88.1676	0.0355
2.1054	1	88.1952	0.03551
2.1081	1	88.2228	0.03552
2.1109	1	88.2503	0.03553
2.1136	1	88.2778	0.03555
2.1164	1	88.3053	0.03556
2.1191	1	88.3328	0.03557
2.1218	1	88.3603	0.03558
2.1246	1	88.3877	0.03559
2.1273	1	88.4151	0.0356
2.13	1	88.4425	0.03561
2.1328	1	88.4699	0.03562
2.1355	1	88.4972	0.03564
2.1383	1	88.5245	0.03565
2.141	1	88.5518	0.03566
2.1437	1	88.5791	0.03567
2.1465	1	88.6063	0.03568
2.1492	1	88.6335	0.03569
2.152	1	88.6607	0.0357
2.1547	1	88.6879	0.03571
2.1574	1	88.715	0.03572
2.1602	1	88.7422	0.03574
2.1629	1	88.7693	0.03575
2.1656	1	88.7964	0.03576
2.1684	1	88.8234	0.03577
2.1711	1	88.8504	0.03578
2.1739	1	88.8775	0.03579
2.1766	1	88.9044	0.0358
2.1793	1	88.9314	0.03581
2.1821	1	88.9584	0.03582
2.1848	1	88.9853	0.03584
2.1875	1	89.012200000000007	0.03585
2.1903	1	89.0391	0.03586
2.193	1	89.0659	0.03587
2.1958	1	89.0927	0.03588
2.1985	1	89.1195	0.03589
2.2012	1	89.1463	0.0359
2.204	1	89.1731	0.03591
2.2067	1	89.1998	0.03592
2.2094	1	89.2266	0.03593
